LEFT_TABLE,LEFT_COLUMN,RIGHT_TABLE,RIGHT_COLUMN
database#behavior_monitoring#Assessment_Notes.csv,student_id,database#behavior_monitoring#Students.csv,student_id
database#behavior_monitoring#Assessment_Notes.csv,teacher_id,database#behavior_monitoring#Teachers.csv,teacher_id
database#behavior_monitoring#Behavior_Incident.csv,incident_type_code,database#behavior_monitoring#Ref_Incident_Type.csv,incident_type_code
database#behavior_monitoring#Behavior_Incident.csv,student_id,database#behavior_monitoring#Students.csv,student_id
database#behavior_monitoring#Detention.csv,detention_type_code,database#behavior_monitoring#Ref_Detention_Type.csv,detention_type_code
database#behavior_monitoring#Detention.csv,teacher_id,database#behavior_monitoring#Teachers.csv,teacher_id
database#behavior_monitoring#Student_Addresses.csv,address_id,database#behavior_monitoring#Addresses.csv,address_id
database#behavior_monitoring#Student_Addresses.csv,student_id,database#behavior_monitoring#Students.csv,student_id
database#behavior_monitoring#Students_in_Detention.csv,incident_id,database#behavior_monitoring#Behavior_Incident.csv,incident_id
database#behavior_monitoring#Students_in_Detention.csv,detention_id,database#behavior_monitoring#Detention.csv,detention_id
database#behavior_monitoring#Students_in_Detention.csv,student_id,database#behavior_monitoring#Students.csv,student_id
database#bike_1#status.csv,station_id,database#bike_1#station.csv,id
database#body_builder#body_builder.csv,People_ID,database#body_builder#people.csv,People_ID
database#book_2#publication.csv,Book_ID,database#book_2#book.csv,Book_ID
database#browser_web#accelerator_compatible_browser.csv,accelerator_id,database#browser_web#Web_client_accelerator.csv,id
database#browser_web#accelerator_compatible_browser.csv,browser_id,database#browser_web#browser.csv,id
database#candidate_poll#candidate.csv,People_ID,database#candidate_poll#people.csv,People_ID
database#car_1#countries.csv,Continent,database#car_1#continents.csv,ContId
database#car_1#car_makers.csv,Country,database#car_1#countries.csv,CountryId
database#car_1#model_list.csv,Maker,database#car_1#car_makers.csv,Id
database#car_1#car_names.csv,Model,database#car_1#model_list.csv,Model
database#car_1#cars_data.csv,Id,database#car_1#car_names.csv,MakeId
database#cinema#schedule.csv,Film_ID,database#cinema#film.csv,Film_ID
database#cinema#schedule.csv,Cinema_ID,database#cinema#cinema.csv,Cinema_ID
database#city_record#temperature.csv,City_ID,database#city_record#city.csv,City_ID
database#city_record#hosting_city.csv,Host_City,database#city_record#city.csv,City_ID
database#city_record#hosting_city.csv,Match_ID,database#city_record#match.csv,Match_ID
database#climbing#climber.csv,Mountain_ID,database#climbing#mountain.csv,Mountain_ID
database#club_1#Member_of_club.csv,StuID,database#club_1#Student.csv,StuID
database#club_1#Member_of_club.csv,ClubID,database#club_1#Club.csv,ClubID
database#coffee_shop#happy_hour.csv,Shop_ID,database#coffee_shop#shop.csv,Shop_ID
database#coffee_shop#happy_hour_member.csv,Member_ID,database#coffee_shop#member.csv,Member_ID
database#college_1#CLASS.csv,CRS_CODE,database#college_1#COURSE.csv,CRS_CODE
database#college_1#CLASS.csv,PROF_NUM,database#college_1#EMPLOYEE.csv,EMP_NUM
database#college_1#COURSE.csv,DEPT_CODE,database#college_1#DEPARTMENT.csv,DEPT_CODE
database#college_1#DEPARTMENT.csv,EMP_NUM,database#college_1#EMPLOYEE.csv,EMP_NUM
database#college_1#ENROLL.csv,CLASS_CODE,database#college_1#CLASS.csv,CLASS_CODE
database#college_1#ENROLL.csv,STU_NUM,database#college_1#STUDENT.csv,STU_NUM
database#college_1#PROFESSOR.csv,EMP_NUM,database#college_1#EMPLOYEE.csv,EMP_NUM
database#college_1#PROFESSOR.csv,DEPT_CODE,database#college_1#DEPARTMENT.csv,DEPT_CODE
database#college_1#STUDENT.csv,DEPT_CODE,database#college_1#DEPARTMENT.csv,DEPT_CODE
database#college_2#instructor.csv,dept_name,database#college_2#department.csv,dept_name
database#college_2#section.csv,course_id,database#college_2#course.csv,course_id
database#college_2#teaches.csv,ID,database#college_2#instructor.csv,ID
database#college_2#student.csv,dept_name,database#college_2#department.csv,dept_name
database#college_2#takes.csv,ID,database#college_2#student.csv,ID
database#college_2#advisor.csv,i_ID,database#college_2#instructor.csv,ID
database#college_2#advisor.csv,s_ID,database#college_2#student.csv,ID
database#college_2#prereq.csv,course_id,database#college_2#course.csv,course_id
database#college_2#prereq.csv,prereq_id,database#college_2#course.csv,course_id
database#college_3#Member_of.csv,FacID,database#college_3#Faculty.csv,FacID
database#college_3#Member_of.csv,DNO,database#college_3#Department.csv,DNO
database#college_3#Course.csv,Instructor,database#college_3#Faculty.csv,FacID
database#college_3#Course.csv,DNO,database#college_3#Department.csv,DNO
database#college_3#Minor_in.csv,StuID,database#college_3#Student.csv,StuID
database#college_3#Minor_in.csv,DNO,database#college_3#Department.csv,DNO
database#college_3#Enrolled_in.csv,StuID,database#college_3#Student.csv,StuID
database#college_3#Enrolled_in.csv,CID,database#college_3#Course.csv,CID
database#college_3#Enrolled_in.csv,Grade,database#college_3#Gradeconversion.csv,lettergrade
database#company_employee#employment.csv,Company_ID,database#company_employee#company.csv,Company_ID
database#company_employee#employment.csv,People_ID,database#company_employee#people.csv,People_ID
database#company_office#Office_locations.csv,building_id,database#company_office#buildings.csv,id
database#company_office#Office_locations.csv,company_id,database#company_office#Companies.csv,id
database#concert_singer#concert.csv,Stadium_ID,database#concert_singer#stadium.csv,Stadium_ID
database#concert_singer#singer_in_concert.csv,concert_ID,database#concert_singer#concert.csv,concert_ID
database#concert_singer#singer_in_concert.csv,Singer_ID,database#concert_singer#singer.csv,Singer_ID
database#county_public_safety#city.csv,County_ID,database#county_public_safety#county_public_safety.csv,County_ID
database#course_teach#course_arrange.csv,Course_ID,database#course_teach#course.csv,Course_ID
database#course_teach#course_arrange.csv,Teacher_ID,database#course_teach#teacher.csv,Teacher_ID
database#cre_Doc_Control_Systems#Documents.csv,document_type_code,database#cre_Doc_Control_Systems#Ref_Document_Types.csv,document_type_code
database#cre_Doc_Control_Systems#Documents.csv,document_status_code,database#cre_Doc_Control_Systems#Ref_Document_Status.csv,document_status_code
database#cre_Doc_Control_Systems#Documents.csv,shipping_agent_code,database#cre_Doc_Control_Systems#Ref_Shipping_Agents.csv,shipping_agent_code
database#cre_Doc_Control_Systems#Employees.csv,role_code,database#cre_Doc_Control_Systems#Roles.csv,role_code
database#cre_Doc_Control_Systems#Document_Drafts.csv,document_id,database#cre_Doc_Control_Systems#Documents.csv,document_id
database#cre_Doc_Control_Systems#Circulation_History.csv,employee_id,database#cre_Doc_Control_Systems#Employees.csv,employee_id
database#cre_Doc_Control_Systems#Documents_Mailed.csv,document_id,database#cre_Doc_Control_Systems#Documents.csv,document_id
database#cre_Doc_Control_Systems#Documents_Mailed.csv,mailed_to_address_id,database#cre_Doc_Control_Systems#Addresses.csv,address_id
database#cre_Doc_Template_Mgt#Templates.csv,Template_Type_Code,database#cre_Doc_Template_Mgt#Ref_Template_Types.csv,Template_Type_Code
database#cre_Doc_Template_Mgt#Documents.csv,Template_ID,database#cre_Doc_Template_Mgt#Templates.csv,Template_ID
database#cre_Doc_Template_Mgt#Paragraphs.csv,Document_ID,database#cre_Doc_Template_Mgt#Documents.csv,Document_ID
database#cre_Doc_Tracking_DB#All_Documents.csv,Document_Type_Code,database#cre_Doc_Tracking_DB#Ref_Document_Types.csv,Document_Type_Code
database#cre_Doc_Tracking_DB#All_Documents.csv,Date_Stored,database#cre_Doc_Tracking_DB#Ref_Calendar.csv,Calendar_Date
database#cre_Doc_Tracking_DB#Employees.csv,Role_Code,database#cre_Doc_Tracking_DB#Roles.csv,Role_Code
database#cre_Doc_Tracking_DB#Document_Locations.csv,Location_Code,database#cre_Doc_Tracking_DB#Ref_Locations.csv,Location_Code
database#cre_Doc_Tracking_DB#Document_Locations.csv,Date_in_Location_From,database#cre_Doc_Tracking_DB#Ref_Calendar.csv,Calendar_Date
database#cre_Doc_Tracking_DB#Document_Locations.csv,Date_in_Locaton_To,database#cre_Doc_Tracking_DB#Ref_Calendar.csv,Calendar_Date
database#cre_Doc_Tracking_DB#Document_Locations.csv,Document_ID,database#cre_Doc_Tracking_DB#All_Documents.csv,Document_ID
database#cre_Doc_Tracking_DB#Documents_to_be_Destroyed.csv,Destroyed_by_Employee_ID,database#cre_Doc_Tracking_DB#Employees.csv,Employee_ID
database#cre_Doc_Tracking_DB#Documents_to_be_Destroyed.csv,Destruction_Authorised_by_Employee_ID,database#cre_Doc_Tracking_DB#Employees.csv,Employee_ID
database#cre_Doc_Tracking_DB#Documents_to_be_Destroyed.csv,Planned_Destruction_Date,database#cre_Doc_Tracking_DB#Ref_Calendar.csv,Calendar_Date
database#cre_Doc_Tracking_DB#Documents_to_be_Destroyed.csv,Actual_Destruction_Date,database#cre_Doc_Tracking_DB#Ref_Calendar.csv,Calendar_Date
database#cre_Doc_Tracking_DB#Documents_to_be_Destroyed.csv,Document_ID,database#cre_Doc_Tracking_DB#All_Documents.csv,Document_ID
database#cre_Docs_and_Epenses#Documents.csv,Document_Type_Code,database#cre_Docs_and_Epenses#Ref_Document_Types.csv,Document_Type_Code
database#cre_Docs_and_Epenses#Documents.csv,Project_ID,database#cre_Docs_and_Epenses#Projects.csv,Project_ID
database#cre_Docs_and_Epenses#Statements.csv,Statement_ID,database#cre_Docs_and_Epenses#Documents.csv,Document_ID
database#cre_Docs_and_Epenses#Documents_with_Expenses.csv,Budget_Type_Code,database#cre_Docs_and_Epenses#Ref_Budget_Codes.csv,Budget_Type_Code
database#cre_Docs_and_Epenses#Documents_with_Expenses.csv,Document_ID,database#cre_Docs_and_Epenses#Documents.csv,Document_ID
database#cre_Docs_and_Epenses#Accounts.csv,Statement_ID,database#cre_Docs_and_Epenses#Statements.csv,Statement_ID
database#cre_Drama_Workshop_Groups#Clients.csv,Address_ID,database#cre_Drama_Workshop_Groups#Addresses.csv,Address_ID
database#cre_Drama_Workshop_Groups#Drama_Workshop_Groups.csv,Address_ID,database#cre_Drama_Workshop_Groups#Addresses.csv,Address_ID
database#cre_Drama_Workshop_Groups#Performers.csv,Address_ID,database#cre_Drama_Workshop_Groups#Addresses.csv,Address_ID
database#cre_Drama_Workshop_Groups#Customers.csv,Address_ID,database#cre_Drama_Workshop_Groups#Addresses.csv,Address_ID
database#cre_Drama_Workshop_Groups#Stores.csv,Address_ID,database#cre_Drama_Workshop_Groups#Addresses.csv,Address_ID
database#cre_Drama_Workshop_Groups#Stores.csv,Marketing_Region_Code,database#cre_Drama_Workshop_Groups#Marketing_Regions.csv,Marketing_Region_Code
database#cre_Drama_Workshop_Groups#Bookings.csv,Customer_ID,database#cre_Drama_Workshop_Groups#Clients.csv,Client_ID
database#cre_Drama_Workshop_Groups#Bookings.csv,Workshop_Group_ID,database#cre_Drama_Workshop_Groups#Drama_Workshop_Groups.csv,Workshop_Group_ID
database#cre_Drama_Workshop_Groups#Performers_in_Bookings.csv,Performer_ID,database#cre_Drama_Workshop_Groups#Performers.csv,Performer_ID
database#cre_Drama_Workshop_Groups#Performers_in_Bookings.csv,Order_ID,database#cre_Drama_Workshop_Groups#Bookings.csv,Booking_ID
database#cre_Drama_Workshop_Groups#Customer_Orders.csv,Customer_ID,database#cre_Drama_Workshop_Groups#Customers.csv,Customer_ID
database#cre_Drama_Workshop_Groups#Customer_Orders.csv,Store_ID,database#cre_Drama_Workshop_Groups#Stores.csv,Store_ID
database#cre_Drama_Workshop_Groups#Order_Items.csv,Order_ID,database#cre_Drama_Workshop_Groups#Customer_Orders.csv,Order_ID
database#cre_Drama_Workshop_Groups#Order_Items.csv,Product_ID,database#cre_Drama_Workshop_Groups#Products.csv,Product_ID
database#cre_Drama_Workshop_Groups#Invoices.csv,Order_ID,database#cre_Drama_Workshop_Groups#Customer_Orders.csv,Order_ID
database#cre_Drama_Workshop_Groups#Invoices.csv,Order_ID,database#cre_Drama_Workshop_Groups#Bookings.csv,Booking_ID
database#cre_Drama_Workshop_Groups#Invoices.csv,payment_method_code,database#cre_Drama_Workshop_Groups#Ref_Payment_Methods.csv,payment_method_code
database#cre_Drama_Workshop_Groups#Services.csv,Workshop_Group_ID,database#cre_Drama_Workshop_Groups#Drama_Workshop_Groups.csv,Workshop_Group_ID
database#cre_Drama_Workshop_Groups#Services.csv,Service_Type_Code,database#cre_Drama_Workshop_Groups#Ref_Service_Types.csv,Service_Type_Code
database#cre_Drama_Workshop_Groups#Bookings_Services.csv,Order_ID,database#cre_Drama_Workshop_Groups#Bookings.csv,Booking_ID
database#cre_Drama_Workshop_Groups#Bookings_Services.csv,Product_ID,database#cre_Drama_Workshop_Groups#Services.csv,Service_ID
database#cre_Drama_Workshop_Groups#Invoice_Items.csv,Order_Item_ID,database#cre_Drama_Workshop_Groups#Order_Items.csv,Order_Item_ID
database#cre_Drama_Workshop_Groups#Invoice_Items.csv,Invoice_ID,database#cre_Drama_Workshop_Groups#Invoices.csv,Invoice_ID
database#cre_Theme_park#Hotels.csv,star_rating_code,database#cre_Theme_park#Ref_Hotel_Star_Ratings.csv,star_rating_code
database#cre_Theme_park#Tourist_Attractions.csv,Location_ID,database#cre_Theme_park#Locations.csv,Location_ID
database#cre_Theme_park#Tourist_Attractions.csv,Attraction_Type_Code,database#cre_Theme_park#Ref_Attraction_Types.csv,Attraction_Type_Code
database#cre_Theme_park#Street_Markets.csv,Market_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Shops.csv,Shop_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Museums.csv,Museum_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Royal_Family.csv,Royal_Family_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Theme_Parks.csv,Theme_Park_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Visits.csv,Tourist_Attraction_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Visits.csv,Tourist_ID,database#cre_Theme_park#Visitors.csv,Tourist_ID
database#cre_Theme_park#Photos.csv,Tourist_Attraction_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Staff.csv,Tourist_Attraction_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Tourist_Attraction_Features.csv,Tourist_Attraction_ID,database#cre_Theme_park#Tourist_Attractions.csv,Tourist_Attraction_ID
database#cre_Theme_park#Tourist_Attraction_Features.csv,Feature_ID,database#cre_Theme_park#Features.csv,Feature_ID
database#csu_1#csu_fees.csv,Campus,database#csu_1#Campuses.csv,Id
database#csu_1#degrees.csv,Campus,database#csu_1#Campuses.csv,Id
database#csu_1#discipline_enrollments.csv,Campus,database#csu_1#Campuses.csv,Id
database#csu_1#enrollments.csv,Campus,database#csu_1#Campuses.csv,Id
database#csu_1#faculty.csv,Campus,database#csu_1#Campuses.csv,Id
database#culture_company#culture_company.csv,book_club_id,database#culture_company#book_club.csv,book_club_id
database#culture_company#culture_company.csv,movie_id,database#culture_company#movie.csv,movie_id
database#customer_complaints#Complaints.csv,staff_id,database#customer_complaints#Staff.csv,staff_id
database#customer_complaints#Complaints.csv,product_id,database#customer_complaints#Products.csv,product_id
database#customer_complaints#Complaints.csv,customer_id,database#customer_complaints#Customers.csv,customer_id
database#customer_deliveries#Regular_Orders.csv,distributer_id,database#customer_deliveries#Customers.csv,customer_id
database#customer_deliveries#Regular_Order_Products.csv,product_id,database#customer_deliveries#Products.csv,product_id
database#customer_deliveries#Regular_Order_Products.csv,regular_order_id,database#customer_deliveries#Regular_Orders.csv,regular_order_id
database#customer_deliveries#Actual_Orders.csv,regular_order_id,database#customer_deliveries#Regular_Orders.csv,regular_order_id
database#customer_deliveries#Actual_Order_Products.csv,product_id,database#customer_deliveries#Products.csv,product_id
database#customer_deliveries#Actual_Order_Products.csv,actual_order_id,database#customer_deliveries#Actual_Orders.csv,actual_order_id
database#customer_deliveries#Customer_Addresses.csv,customer_id,database#customer_deliveries#Customers.csv,customer_id
database#customer_deliveries#Customer_Addresses.csv,address_id,database#customer_deliveries#Addresses.csv,address_id
database#customer_deliveries#Delivery_Route_Locations.csv,location_address_id,database#customer_deliveries#Addresses.csv,address_id
database#customer_deliveries#Delivery_Route_Locations.csv,route_id,database#customer_deliveries#Delivery_Routes.csv,route_id
database#customer_deliveries#Employees.csv,employee_address_id,database#customer_deliveries#Addresses.csv,address_id
database#customer_deliveries#Order_Deliveries.csv,truck_id,database#customer_deliveries#Trucks.csv,truck_id
database#customer_deliveries#Order_Deliveries.csv,actual_order_id,database#customer_deliveries#Actual_Orders.csv,actual_order_id
database#customer_deliveries#Order_Deliveries.csv,location_code,database#customer_deliveries#Delivery_Route_Locations.csv,location_code
database#customer_deliveries#Order_Deliveries.csv,driver_employee_id,database#customer_deliveries#Employees.csv,employee_id
database#customers_and_addresses#Customer_Addresses.csv,address_id,database#customers_and_addresses#Addresses.csv,address_id
database#customers_and_addresses#Customer_Addresses.csv,customer_id,database#customers_and_addresses#Customers.csv,customer_id
database#customers_and_addresses#Customer_Contact_Channels.csv,customer_id,database#customers_and_addresses#Customers.csv,customer_id
database#customers_and_addresses#Customer_Orders.csv,customer_id,database#customers_and_addresses#Customers.csv,customer_id
database#customers_and_addresses#Order_Items.csv,product_id,database#customers_and_addresses#Products.csv,product_id
database#customers_and_addresses#Order_Items.csv,order_id,database#customers_and_addresses#Customer_Orders.csv,order_id
database#customers_and_invoices#Orders.csv,customer_id,database#customers_and_invoices#Customers.csv,customer_id
database#customers_and_invoices#Invoices.csv,order_id,database#customers_and_invoices#Orders.csv,order_id
database#customers_and_invoices#Accounts.csv,customer_id,database#customers_and_invoices#Customers.csv,customer_id
database#customers_and_invoices#Products.csv,production_type_code,database#customers_and_invoices#Product_Categories.csv,production_type_code
database#customers_and_invoices#Financial_Transactions.csv,invoice_number,database#customers_and_invoices#Invoices.csv,invoice_number
database#customers_and_invoices#Financial_Transactions.csv,account_id,database#customers_and_invoices#Accounts.csv,account_id
database#customers_and_invoices#Order_Items.csv,product_id,database#customers_and_invoices#Products.csv,product_id
database#customers_and_invoices#Order_Items.csv,order_id,database#customers_and_invoices#Orders.csv,order_id
database#customers_and_invoices#Invoice_Line_Items.csv,order_item_id,database#customers_and_invoices#Order_Items.csv,order_item_id
database#customers_and_invoices#Invoice_Line_Items.csv,invoice_number,database#customers_and_invoices#Invoices.csv,invoice_number
database#customers_and_invoices#Invoice_Line_Items.csv,product_id,database#customers_and_invoices#Products.csv,product_id
database#customers_and_products_contacts#Customer_Address_History.csv,customer_id,database#customers_and_products_contacts#Customers.csv,customer_id
database#customers_and_products_contacts#Customer_Address_History.csv,address_id,database#customers_and_products_contacts#Addresses.csv,address_id
database#customers_and_products_contacts#Customer_Orders.csv,customer_id,database#customers_and_products_contacts#Customers.csv,customer_id
database#customers_and_products_contacts#Order_Items.csv,product_id,database#customers_and_products_contacts#Products.csv,product_id
database#customers_and_products_contacts#Order_Items.csv,order_id,database#customers_and_products_contacts#Customer_Orders.csv,order_id
database#customers_campaigns_ecommerce#Customer_Addresses.csv,premise_id,database#customers_campaigns_ecommerce#Premises.csv,premise_id
database#customers_campaigns_ecommerce#Customer_Addresses.csv,customer_id,database#customers_campaigns_ecommerce#Customers.csv,customer_id
database#customers_campaigns_ecommerce#Customer_Orders.csv,customer_id,database#customers_campaigns_ecommerce#Customers.csv,customer_id
database#customers_campaigns_ecommerce#Mailshot_Customers.csv,customer_id,database#customers_campaigns_ecommerce#Customers.csv,customer_id
database#customers_campaigns_ecommerce#Mailshot_Customers.csv,mailshot_id,database#customers_campaigns_ecommerce#Mailshot_Campaigns.csv,mailshot_id
database#customers_campaigns_ecommerce#Order_Items.csv,product_id,database#customers_campaigns_ecommerce#Products.csv,product_id
database#customers_campaigns_ecommerce#Order_Items.csv,order_id,database#customers_campaigns_ecommerce#Customer_Orders.csv,order_id
database#customers_card_transactions#Financial_Transactions.csv,card_id,database#customers_card_transactions#Customers_Cards.csv,card_id
database#customers_card_transactions#Financial_Transactions.csv,account_id,database#customers_card_transactions#Accounts.csv,account_id
database#debate#debate_people.csv,Debate_ID,database#debate#debate.csv,Debate_ID
database#debate#debate_people.csv,Affirmative,database#debate#people.csv,People_ID
database#debate#debate_people.csv,Negative,database#debate#people.csv,People_ID
database#decoration_competition#member.csv,College_ID,database#decoration_competition#college.csv,College_ID
database#decoration_competition#round.csv,Member_ID,database#decoration_competition#member.csv,Member_ID
database#department_management#management.csv,Department_ID,database#department_management#department.csv,Department_ID
database#department_management#management.csv,head_ID,database#department_management#head.csv,head_ID
database#department_store#Supplier_Addresses.csv,address_id,database#department_store#Addresses.csv,address_id
database#department_store#Supplier_Addresses.csv,supplier_id,database#department_store#Suppliers.csv,supplier_id
database#department_store#Customer_Addresses.csv,address_id,database#department_store#Addresses.csv,address_id
database#department_store#Customer_Addresses.csv,customer_id,database#department_store#Customers.csv,customer_id
database#department_store#Customer_Orders.csv,customer_id,database#department_store#Customers.csv,customer_id
database#department_store#Department_Stores.csv,dept_store_chain_id,database#department_store#Department_Store_Chain.csv,dept_store_chain_id
database#department_store#Departments.csv,dept_store_id,database#department_store#Department_Stores.csv,dept_store_id
database#department_store#Order_Items.csv,order_id,database#department_store#Customer_Orders.csv,order_id
