ds_name,att_name,sizeDistinct1,ds_name_2,att_name_2,sizeDistinct2,joinSize,trueContainment,trueQuality
community-centres.csv,Geo Local Area,18,schools.csv,Geo Local Area,22,18,1.0,4.0
community-gardens-and-food-trees.csv,Geo Local Area,22,libraries.csv,Geo Local Area,19,19,0.863636364,4.0
libraries.csv,Geo Local Area,19,community-gardens-and-food-trees.csv,Geo Local Area,22,19,1.0,4.0
community-gardens-and-food-trees.csv,Geo Local Area,22,community-centres.csv,Geo Local Area,18,18,0.818181818,4.0
community-centres.csv,Geo Local Area,18,community-gardens-and-food-trees.csv,Geo Local Area,22,18,1.0,4.0
libraries.csv,Geo Local Area,19,community-centres.csv,Geo Local Area,18,17,0.894736842,4.0
community-centres.csv,Geo Local Area,18,libraries.csv,Geo Local Area,19,17,0.944444444,4.0
eo_xx.csv,NAME,1851,eo4.csv,NAME,3097,1851,1.0,4.0
eo4.csv,NAME,3097,eo_xx.csv,NAME,1851,1851,0.59767517,3.0
eo_xx.csv,ICO,1269,eo4.csv,ICO,2050,1269,1.0,4.0
eo4.csv,ICO,2050,eo_xx.csv,ICO,1269,1269,0.61902439,3.0
eo_xx.csv,STREET,1806,eo4.csv,STREET,3045,1806,1.0,4.0
eo4.csv,STREET,3045,eo_xx.csv,STREET,1806,1806,0.593103448,3.0
eo_xx.csv,CITY,215,eo4.csv,CITY,322,215,1.0,4.0
eo4.csv,CITY,322,eo_xx.csv,CITY,215,215,0.667701863,3.0
eo_xx.csv,STATE,10,eo4.csv,STATE,11,10,1.0,4.0
eo4.csv,STATE,11,eo_xx.csv,STATE,10,10,0.909090909,4.0
eo_xx.csv,ZIP,634,eo4.csv,ZIP,1745,634,1.0,4.0
eo_xx.csv,NTEE_CD,397,eo4.csv,NTEE_CD,531,397,1.0,4.0
eo4.csv,NTEE_CD,531,eo_xx.csv,NTEE_CD,397,397,0.747645951,3.0
eo_xx.csv,SORT_NAME,391,eo4.csv,SORT_NAME,667,391,1.0,4.0
eo4.csv,SORT_NAME,667,eo_xx.csv,SORT_NAME,391,391,0.586206897,3.0
