query_table,candidate_table,query_column,candidate_column,joinable_level,column_joinable
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L,4,NO
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,VERT_ALIGN,VERT_ALIGN,4,YES
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,STD_EXP_FACTOR,STD_EXP_FACTOR,4,NO
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,ROUTE_SIGNING,ROUTE_SIGNING,4,YES
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,PERC_COMBINATION,PERC_COMBINATION,4,NO
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS,4,NO
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,DONUT_EXP_FACTOR,DONUT_EXP_FACTOR,4,NO
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,LANE_WIDTH,LANE_WIDTH,4,NO
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,INTER_ROUTE_NUMBER,INTER_ROUTE_NUMBER,4,YES
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,TYPE_FACILITY,TYPE_FACILITY,4,YES
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,THROUGH_LANES,THROUGH_LANES,4,YES
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,UNBUILT_FACILITY,UNBUILT_FACILITY,4,NO
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,YEAR_RECORD,YEAR_RECORD,4,YES
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Activity,Post-Op Q Activity,4,YES
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Bleeding,Post-Op Q Bleeding,4,YES
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Self-Care,Post-Op Q Self-Care,4,YES
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index,4,YES
CAN_CSV0000000000001787__0.csv,CAN_CSV0000000000001787__36.csv,Province/Canada,Province/Canada,4,YES
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA,4,NO
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,ICAO_STN_ID,ICAO_STN_ID,4,YES
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT,4,NO
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA,4,NO
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,ICAO_STN_ID,ICAO_STN_ID,4,YES
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT,4,NO
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
UK_CSV0000000000007396__10.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Activity,Post-Op Q Activity,4,YES
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Sucess,Post-Op Q Sucess,4,NO
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Bleeding,Post-Op Q Bleeding,4,YES
UK_CSV0000000000002010__30.csv,UK_CSV0000000000002010__6.csv,Liver Disease,Liver Disease,4,NO
UK_CSV0000000000002010__30.csv,UK_CSV0000000000002010__6.csv,Pre-Op Q Activity,Pre-Op Q Activity,4,YES
UK_CSV0000000000002010__31.csv,UK_CSV0000000000002010__9.csv,Liver Disease,Liver Disease,4,NO
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,ban_children4,ban_children4,4,NO
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,md_segment,md_segment,4,YES
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,highestlevel,highestlevel,4,YES
SG_CSV0000000000000925__6.csv,SG_CSV0000000000001714__6.csv,ban_q18_q191,ban_q18_q191,4,NO
SG_CSV0000000000000925__6.csv,SG_CSV0000000000001714__6.csv,occupation2,occupation2,4,YES
SG_CSV0000000000000925__44.csv,SG_CSV0000000000000925__6.csv,ban_children4,ban_children4,4,NO
SG_CSV0000000000000925__44.csv,SG_CSV0000000000000925__6.csv,md_segment,md_segment,4,YES
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Self-Care,Post-Op Q Self-Care,4,YES
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index,4,YES
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Wound,Post-Op Q Wound,4,YES
CAN_CSV0000000000001724__45.csv,CAN_CSV0000000000001787__10.csv,RentLocation,RentLocation,4,YES
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000027353__2.csv,AVG_STN_PRES_PST1MT,AVG_STN_PRES_PST1MT,4,NO
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000027353__2.csv,MIN_AIR_TEMP_PST1HR,MIN_AIR_TEMP_PST1HR,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000027346__35.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000027346__35.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000027346__30.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA,4,NO
USA_CSV0000000000034882__25.csv,USA_CSV0000000000037101__17.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP,4,NO
USA_CSV0000000000034882__25.csv,USA_CSV0000000000037101__17.csv,DIR_FACTOR,DIR_FACTOR,4,NO
USA_CSV0000000000034882__25.csv,USA_CSV0000000000037101__17.csv,TYPE_FACILITY,TYPE_FACILITY,4,YES
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,PEAK_CAPACITY,PEAK_CAPACITY,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,ACCESS_CONTROL,ACCESS_CONTROL,4,YES
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,URBAN_CODE,URBAN_CODE,4,YES
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,IS_GROUPED,IS_GROUPED,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,PEAK_PARKING,PEAK_PARKING,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,SECTION_ID,SECTION_ID,4,YES
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,TYPE_SIGNAL,TYPE_SIGNAL,4,YES
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,TRUCK_ROUTE,TRUCK_ROUTE,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,PEAK_LANES,PEAK_LANES,4,NO
USA_CSV0000000000033847__10.csv,USA_CSV0000000000034882__12.csv,PAVEMENT_TYPE,PAVEMENT_TYPE,4,YES
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__14.csv,PERC_COMBINATION,PERC_COMBINATION,4,NO
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__14.csv,SHOULDER_TYPE,SHOULDER_TYPE,4,YES
USA_CSV0000000000034882__9.csv,USA_CSV0000000000037101__17.csv,SAMPLING_TECH,SAMPLING_TECH,4,YES
UK_CSV0000000000002010__17.csv,UK_CSV0000000000002010__6.csv,Post-Op Q Anxiety,Post-Op Q Anxiety,4,YES
USA_CSV0000000000037101__17.csv,USA_CSV0000000000037101__35.csv,TYPE_TERRAIN,TYPE_TERRAIN,4,YES
CAN_CSV0000000000001787__41.csv,CAN_CSV0000000000001797__26.csv,Province/Canada,Province/Canada,4,YES
CAN_CSV0000000000001787__41.csv,CAN_CSV0000000000001797__21.csv,Province/Canada,Province/Canada,4,YES
CAN_CSV0000000000001787__8.csv,CAN_CSV0000000000001797__2.csv,RentLocation,RentLocation,4,YES
CAN_CSV0000000000001797__3.csv,CAN_CSV0000000000001797__6.csv,RentLocation,RentLocation,4,YES
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,CEILOMTR_ELEV,CEILOMTR_ELEV,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,DATA_PAYLOAD_URI,DATA_PAYLOAD_URI,4,YES
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,CLD_BAS_HGT_1,CLD_BAS_HGT_1,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,ALTMETR_SETNG,ALTMETR_SETNG,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,DNSTY_ALTD,DNSTY_ALTD,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,MAX_AIR_TEMP_PST1HR,MAX_AIR_TEMP_PST1HR,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,PCPN_AMT_PST1HR_QA,PCPN_AMT_PST1HR_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_VIS_PST1MT_QA,AVG_VIS_PST1MT_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__28.csv,PCPN_AMT_PST1HR,PCPN_AMT_PST1HR,4,NO
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__25.csv,HORZ_ALIGN,HORZ_ALIGN,4,YES
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__25.csv,VERT_ALIGN,VERT_ALIGN,4,YES
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__25.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS,4,NO
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__25.csv,TURN_LANES_L,TURN_LANES_L,4,NO
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__25.csv,YEAR_RECORD,YEAR_RECORD,4,YES
CAN_CSV0000000000027353__17.csv,CAN_CSV0000000000027353__18.csv,LTNG_DIS_RMK,LTNG_DIS_RMK,4,YES
CAN_CSV0000000000027353__17.csv,CAN_CSV0000000000027353__18.csv,OBS_DATETIME_UTC,OBS_DATETIME_UTC,4,YES
CAN_CSV0000000000027353__17.csv,CAN_CSV0000000000027353__18.csv,AVG_MSLP_PST1MT,AVG_MSLP_PST1MT,4,NO
USA_CSV0000000000033169__10.csv,USA_CSV0000000000034070__20.csv,High Blood Pressure,High Blood Pressure,4,NO
USA_CSV0000000000033169__10.csv,USA_CSV0000000000034070__20.csv,Hyperlipidemia,Hyperlipidemia,4,NO
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,SUBDIVISION_ENM,SUBDIVISION_ENM,4,YES
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,COUNTRY_FNM,COUNTRY_FNM,4,YES
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,WORLDAREANAMEE,WORLDAREANAMEE,4,YES
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,OCCURRENCETIME,OCCURRENCETIME,4,YES
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,SUBDIVISION_FNM,SUBDIVISION_FNM,4,NO
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,DAYORNIGHT,DAYORNIGHT,4,NO
CAN_CSV0000000000001337__3.csv,CAN_CSV0000000000001337__4.csv,OCCURRENCELOCATION,OCCURRENCELOCATION,4,YES
CAN_CSV0000000000001735__1.csv,CAN_CSV0000000000001735__4.csv,Province/Canada,Province/Canada,4,YES
CAN_CSV0000000000001780__12.csv,CAN_CSV0000000000001780__17.csv,4A02P Pine Pass,4A02P Pine Pass,4,NO
CAN_CSV0000000000001780__12.csv,CAN_CSV0000000000001780__17.csv,2F18P Brenda Mine,2F18P Brenda Mine,4,NO
CAN_CSV0000000000001780__12.csv,CAN_CSV0000000000001780__17.csv,4B16P Shedin Creek,4B16P Shedin Creek,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,VERT_ALIGN,VERT_ALIGN,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,ROUTE_QUALIFIER,ROUTE_QUALIFIER,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,SECTION_ID,SECTION_ID,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,SHOULDER_TYPE,SHOULDER_TYPE,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PEAK_LANES,PEAK_LANES,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PEAK_CAPACITY,PEAK_CAPACITY,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,ACCESS_CONTROL,ACCESS_CONTROL,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,AVG_SINGLE_UNIT,AVG_SINGLE_UNIT,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PERC_SINGLE_UNIT,PERC_SINGLE_UNIT,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,IS_GROUPED,IS_GROUPED,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,SHOULDER_WIDTH_R,SHOULDER_WIDTH_R,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,TRUCK_ROUTE,TRUCK_ROUTE,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,TYPE_SIGNAL,TYPE_SIGNAL,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,URBAN_CODE,URBAN_CODE,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PAVEMENT_TYPE,PAVEMENT_TYPE,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,MEDIAN_TYPE,MEDIAN_TYPE,4,YES
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PERC_COMBINATION,PERC_COMBINATION,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,PEAK_PARKING,PEAK_PARKING,4,NO
USA_CSV0000000000034882__12.csv,USA_CSV0000000000034882__14.csv,UNBUILT_FACILITY,UNBUILT_FACILITY,4,NO
CAN_CSV0000000000001724__46.csv,CAN_CSV0000000000001787__7.csv,RentLocation,RentLocation,4,YES
UK_CSV0000000000005621__10.csv,UK_CSV0000000000005621__8.csv,Variable Type,Variable Type,4,YES
UK_CSV0000000000005621__10.csv,UK_CSV0000000000005621__8.csv,Use of advocacy,Use of advocacy,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,DONUT_EXP_FACTOR,DONUT_EXP_FACTOR,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,ROUTE_NUMBER,ROUTE_NUMBER,4,YES
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,AVG_COMBINATION,AVG_COMBINATION,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,TURN_LANES_L,TURN_LANES_L,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,PEAK_LANES,PEAK_LANES,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,YEAR_SURF_IMPROV,YEAR_SURF_IMPROV,4,YES
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,COUNTY_CODE,COUNTY_CODE,4,YES
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,TRUCK_ROUTE,TRUCK_ROUTE,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,PERC_SIGHT,PERC_SIGHT,4,NO
USA_CSV0000000000037101__18.csv,USA_CSV0000000000037101__20.csv,FUT_AADT_YEAR,FUT_AADT_YEAR,4,YES
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__5.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__5.csv,CEILOMTR_ELEV,CEILOMTR_ELEV,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__5.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA,4,NO
CAN_CSV0000000000001487__24.csv,CAN_CSV0000000000001487__5.csv,PCPN_AMT_PST1HR,PCPN_AMT_PST1HR,4,NO
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__17.csv,respondent_id,respondent_id,4,YES
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__17.csv,yearbornin_1_slice,yearbornin_1_slice,4,YES
SG_CSV0000000000000925__3.csv,SG_CSV0000000000001714__17.csv,highestlevel,highestlevel,4,YES
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Circulation,Circulation,4,YES
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Revision Flag,Revision Flag,4,NO
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Kidney Disease,Kidney Disease,4,NO
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Post-Op Q EQ VAS,Post-Op Q EQ VAS,4,YES
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Post-Op Q Anxiety,Post-Op Q Anxiety,4,YES
UK_CSV0000000000002010__13.csv,UK_CSV0000000000002010__17.csv,Pre-Op Q Activity,Pre-Op Q Activity,4,YES
CAN_CSV0000000000020982.csv,CAN_CSV0000000000024893.csv,Function / Fonction,Function / Fonction,4,YES
CAN_CSV0000000000001286.csv,CAN_CSV0000000000002323.csv,REF_DATE,REF_DATE,4,YES
CAN_CSV0000000000001286.csv,CAN_CSV0000000000002323.csv,Coordinate,Coordinate,4,YES
CAN_CSV0000000000003410.csv,CAN_CSV0000000000010564.csv,Field Unit,Field Unit,4,YES
