TableName,Column,Description,CTA
SG_CSV0000000000000925.csv,maritialstatus,"The ""maritialstatus"" column documents the marital status of the respondents, indicating their current relationship status such as single, married, divorced, or widowed.",category
SG_CSV0000000000000925.csv,children,"The ""children"" column indicates whether the respondent has children or not, typically marked by binary values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,noofchildren,The 'noofchildren' column contains numerical data indicating the number of children each respondent has.,Number
SG_CSV0000000000000925.csv,childage,"The ""childage"" column captures the age of a specific child related to the respondent, which is likely identified by their relationship or role in the survey context.",Age
SG_CSV0000000000000925.csv,personalincome,"The ""personalincome"" column contains data reflecting the individual income levels of respondents, which likely represent a range of monetary values indicating the earnings or financial earnings of each person surveyed, reflecting their personal financial status or earnings capacity within the survey data context.",price
SG_CSV0000000000000925.csv,hhi,The 'hhi' column likely represents the household income or a related aggregated household index for each respondent.,currency
SG_CSV0000000000000925.csv,socialnetwork_1_slice,"The 'socialnetwork_1_slice' column contains categorical data indicating whether respondents are part of a particular social network, with values represented as either 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_2_slice,The 'socialnetwork_2_slice' column contains categorical information indicating the different types of social networking actions or platforms used by respondents.,category
SG_CSV0000000000000925.csv,socialnetwork_3_slice,"The 'socialnetwork_3_slice' column in the table contains categorical data indicating respondents' usage or activity status on a particular social network, represented by either 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_4_slice,"The ""socialnetwork_4_slice"" column contains binary categorical values indicating whether or not the respondent is associated with a particular social network attribute, likely reflecting their social engagement or activity level related to that network.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_5_slice,"The ""socialnetwork_5_slice"" column describes a specific aspect or category of the respondents' social network preferences or behaviors, likely representing a subset or segment within a larger dataset about social networking habits or attitudes.",category
SG_CSV0000000000000925.csv,socialnetwork_6_slice,"The 'socialnetwork_6_slice' column contains entries that indicate the respondents' usage or engagement level with a particular social network platform, captured in binary 'Yes' or 'No' responses.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp01,"The column 'socialnetwork_dp01' represents whether the respondents use a specific social networking platform, indicated by values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp02,"The 'socialnetwork_dp02' column contains binary data indicating the presence or absence of a respondent's participation or engagement in a specific type of social network or digital platform, likely denoted by a 'Yes' or 'No' response.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp03,"The 'socialnetwork_dp03' column likely contains categorical data indicating whether a respondent is active on a specific social network platform or if they have a profile on it, based on its nomenclature and typical survey construction.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp04,"The 'socialnetwork_dp04' column captures whether respondents identify themselves in specific social network categories, such as 'Loyal_betrayal,' 'Harm_Care,' 'Fairness_Cheating,' or 'Purity_Degradation,' indicating their social or moral alignment.",category
SG_CSV0000000000000925.csv,socialnetwork_dp05,"The 'socialnetwork_dp05' column captures the usage preferences or engagement of respondents with a particular social network platform, potentially highlighting their frequency or intensity of use.",category
SG_CSV0000000000000925.csv,socialnetwork_dp06,"The 'socialnetwork_dp06' column contains dichotomous values indicating whether respondents use a particular social network platform, represented as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp07,"The ""socialnetwork_dp07"" column captures responses regarding the frequency or type of engagement participants have with social networks or social media platforms.",category
SG_CSV0000000000000925.csv,socialnetwork_dp08,"The 'socialnetwork_dp08' column captures a binary indicator reflecting whether the respondent is active on a specific social network platform, with values typically represented as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,socialnetwork_dp09,"The 'socialnetwork_dp09' column in the table captures respondents' usage or engagement with specific social networks or platforms, though specific values are not provided for more detailed insight.",category
SG_CSV0000000000000925.csv,socialnetwork_dp10,"The 'socialnetwork_dp10' column captures respondents' preferences or behaviors regarding social networks, likely indicating their engagement level, usage patterns, or attitudes towards digital platforms.",category
SG_CSV0000000000000925.csv,q20_q211,"The column 'q20_q211' contains responses indicating the participant's tendency to agree or disagree with a specific moral or ethical principle, as denoted by various categorically labeled values.",Text
SG_CSV0000000000000925.csv,q20_q212,The 'q20_q212' column captures binary survey responses indicating either a 'Yes' or 'No' answer to a specific question related to the participant's attitudes or behaviors.,Boolean
SG_CSV0000000000000925.csv,q20_q213,"The target column 'q20_q213' likely contains responses or data related to a specific survey question, where the entries are either categorical or ordinal in nature, capturing participants' attitudes, opinions, or experiences that correlate with other thematic questions identified by similar 'q20' identifiers.",category
SG_CSV0000000000000925.csv,q20_q214,"The column 'q20_q214' contains binary responses indicating whether respondents engage in or agree with a certain unspecified behavior or statement, with possible values being 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_age,"The 'ban_age' column likely contains values representing respondents' ages in relation to specific questions or scenarios regarding ""ban"" topics or initiatives.",Age
SG_CSV0000000000000925.csv,ban_gender,"The 'ban_gender' column represents data on whether respondents believe certain bans should be applied differently based on gender, with possible answers indicating their stance such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_personal_inc,"The column 'ban_personal_inc' contains data related to the respondent's personal income bracket, reflecting financial information such as income level or category for each individual within the dataset.",category
SG_CSV0000000000000925.csv,ban_mhi,"The 'ban_mhi' column likely contains responses or ratings related to mental health issues, capturing individual sentiments or evaluations on mental health-related questions in the context of the survey conducted among respondents from Singapore.",Text
SG_CSV0000000000000925.csv,ban_q18_q191,"The column 'ban_q18_q191' in the table appears to contain binary responses, indicating a 'Yes' or 'No' answer to a specific question asked to respondents, potentially related to a survey or study conducted in Singapore.",Boolean
SG_CSV0000000000000925.csv,ban_q18_q192,"The target column 'ban_q18_q192' contains boolean values, specifically 'Yes' or 'No', indicating the respondent's answer or opinion to a specific survey question which isn't explicitly detailed but may relate to a binary choice or agreement.",Boolean
SG_CSV0000000000000925.csv,ban_q18_q193,"The column 'ban_q18_q193' contains binary responses indicating whether the respondents have a certain attribute or condition, such as the presence or absence of a particular opinion, belief, or behavior, as evidenced by consistent entries like 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_q18_q194,"The target column 'ban_q18_q194' contains responses indicating whether individuals, presumably in a survey or study context, answered 'Yes' or 'No' to a particular question or statement that is part of a broader assessment categorized under the identifier 'ban_q18_q194'.",Boolean
SG_CSV0000000000000925.csv,ban_education1,"The 'ban_education1' column likely contains categorical values that signify the respondents' educational background or level, which might be used to understand how education relates to opinions or behaviors captured in other survey questions.",category
SG_CSV0000000000000925.csv,ban_education2,"The column 'ban_education2' contains categorical values indicating an individual's level of education or attitudes towards education standards, possibly related to a specific question in a survey or study.",category
SG_CSV0000000000000925.csv,ban_education3,"The column 'ban_education3' contains data indicating the educational background or qualifications of the respondents, which may include responses or classifications related to educational attainment levels or categories.",category
SG_CSV0000000000000925.csv,ban_education4,The 'ban_education4' column contains responses indicating whether certain educational bans or affiliations are considered important or relevant by the respondents.,Boolean
SG_CSV0000000000000925.csv,ban_occupation_status1,The 'ban_occupation_status1' column likely captures data related to the occupation status of respondents in the survey.,category
SG_CSV0000000000000925.csv,ban_occupation_status2,"The ""ban_occupation_status2"" column likely contains information about the employment or occupational status of respondents within the dataset, indicating whether certain occupational restrictions or conditions apply to them.",JobPosting
SG_CSV0000000000000925.csv,ban_occupation_status3,"The 'ban_occupation_status3' column likely captures information regarding an individual's occupation status, possibly indicating categories or levels of employment or professional engagement, as part of the broader dataset detailing respondent demographics and characteristics.",category
SG_CSV0000000000000925.csv,ban_occupation_status4,"The 'ban_occupation_status4' column categorizes respondents based on their employment status or occupational classification, specifically identifying whether their occupation is banned or restricted in some capacity.",category
SG_CSV0000000000000925.csv,ban_occupation_status5,"The 'ban_occupation_status5' column identifies whether respondents, as part of a study, hold a particular occupational status, which may be related to a specific question or condition in the survey denoted by the prefix 'ban'.",category
SG_CSV0000000000000925.csv,ban_occupation_status6,"The 'ban_occupation_status6' column indicates whether respondents belong to a specific occupational status category, potentially part of a series detailing varying professional conditions or classifications.",category
SG_CSV0000000000000925.csv,ban_occupation_status7,"The 'ban_occupation_status7' column likely captures specific information related to respondents' occupation status, potentially in the context of a survey or study on employment or economic conditions, although specific values in the column are not provided to determine the exact nature of the data captured.",category
SG_CSV0000000000000925.csv,ban_occupation_status8,"The 'ban_occupation_status8' column represents a categorical variable indicating the occupational status of respondents, with possible values being 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_occupation_status9,"The ""ban_occupation_status9"" column holds categorical data that likely represents responses or attitudes towards different occupations, possibly indicating the acceptance, restriction, or other qualitative measures related to occupation status from the survey respondents.",category
SG_CSV0000000000000925.csv,ban_occupation_role1,"The ""ban_occupation_role1"" column contains information about the specific occupation roles that are being referred to in the context of a survey or study, indicating how occupational roles are grouped or categorized for analysis.",category
SG_CSV0000000000000925.csv,ban_occupation_role2,"The column ""ban_occupation_role2"" contains categorical information representing different occupational roles or categories assigned to respondents in the dataset.",category
SG_CSV0000000000000925.csv,ban_occupation_role3,"The 'ban_occupation_role3' column captures data indicating whether respondents identify with a particular occupation role or category, potentially related to binary occupation status or filling specific job functions within an occupational context.",category
SG_CSV0000000000000925.csv,ban_occupation_role4,"The ""ban_occupation_role4"" column categorizes respondents based on their roles or positions within an organizational context, focusing on specific occupational or professional distinctions.",category
SG_CSV0000000000000925.csv,ban_occupation_role5,"The 'ban_occupation_role5' column likely contains categorical data representing specific occupation roles or categories that respondents might have indicated, possibly pertaining to whether certain roles are deemed acceptable or controversial in the context of a banning survey.",category
SG_CSV0000000000000925.csv,ban_occupation_role6,"The ""ban_occupation_role6"" column contains binary or categorical data indicating whether a respondent associates with a specific role or perspective regarding occupational or professional restrictions, as part of a broader survey exploring attitudes and beliefs.",Boolean
SG_CSV0000000000000925.csv,ban_occupation_role7,"The ""ban_occupation_role7"" column appears to capture responses related to a specific occupational role or function, with values presumably denoting whether the respondent has a certain occupational role or responsibility, possibly indicated by a binary ""Yes"" or ""No"" response.",Boolean
SG_CSV0000000000000925.csv,ban_occupation_role8,"The ""ban_occupation_role8"" column likely contains information about the specific occupation or role classification that is being banned or regulated, often represented as discrete categorical values indicating the nature of the role or occupation restriction.",category
SG_CSV0000000000000925.csv,ban_marital,The 'ban_marital' column contains responses indicating the marital status of the participants in the study.,category
SG_CSV0000000000000925.csv,ban_children1,"The 'ban_children1' column contains categorical responses indicating whether respondents believe in banning children-related activities, with possible values suggesting 'Yes' or 'No' beliefs.",Boolean
SG_CSV0000000000000925.csv,ban_children2,"The target column 'ban_children2' contains values that indicate whether respondents believe (Yes or No) that certain actions or policies are acceptable or applicable to children, as inferred from the binary responses given.",Boolean
SG_CSV0000000000000925.csv,ban_children3,"The target column ""ban_children3"" contains binary responses indicating whether respondents are in favor ('Yes') or not in favor ('No') regarding a particular stance or policy related to children.",Boolean
SG_CSV0000000000000925.csv,ban_children4,"The column 'ban_children4' indicates whether respondents answered 'Yes' or 'No' to a specific question related to the presence or consideration of a ban that involves children, as part of a larger set of survey questions.",Boolean
SG_CSV0000000000000925.csv,ban_no_ofchildren,The column 'ban_no_ofchildren' represents the number of children a respondent has.,Number
SG_CSV0000000000000925.csv,ban_age_youngest,The column 'ban_age_youngest' likely represents the age of the youngest individual within a specified group or family associated with the respondent.,Age
SG_CSV0000000000000925.csv,ban_q28,"The 'ban_q28' column contains binary responses indicating whether the respondent answered 'Yes' or 'No' to a particular survey question, which is likely related to a specific ban or restriction topic.",Boolean
SG_CSV0000000000000925.csv,ban_q30_1,"The column 'ban_q30_1' contains binary responses, indicating a 'Yes' or 'No' answer to a survey question regarding a specific issue related to the questionnaire in a given study.",Boolean
SG_CSV0000000000000925.csv,ban_q30_2,The column 'ban_q30_2' contains binary responses indicating whether participants agree ('Yes') or disagree ('No') with a specific question related to an unspecified topic within a survey.,Boolean
SG_CSV0000000000000925.csv,ban_q30_3,"The 'ban_q30_3' column contains binary information indicating whether respondents answered ""Yes"" or ""No"" to a specific survey question, with the exact nature of the question not specified in the provided table values.",Boolean
SG_CSV0000000000000925.csv,ban_q30_4,"The ""ban_q30_4"" column contains binary responses, ""Yes"" or ""No,"" indicating whether the respondent agrees with a specific statement or condition related to banning, as part of a survey question.",Boolean
SG_CSV0000000000000925.csv,ban_q32,The 'ban_q32' column contains binary responses indicating whether the individuals agree or disagree with a certain proposition or question.,Boolean
SG_CSV0000000000000925.csv,ban_q431,"The 'ban_q431' column contains binary responses, 'Yes' or 'No', indicating whether respondents agreed or disagreed with a particular survey question.",Boolean
SG_CSV0000000000000925.csv,ban_q432,The 'ban_q432' column contains binary responses indicating either 'Yes' or 'No'.,Boolean
SG_CSV0000000000000925.csv,ban_q433,"The target column ""ban_q433"" captures the binary response of survey participants, represented as 'Yes' or 'No', which likely corresponds to their stance or behavior concerning a specific question or statement included in the survey.",Boolean
SG_CSV0000000000000925.csv,ban_q434,"The 'ban_q434' column contains binary values indicating whether respondents answered 'Yes' or 'No' to a specific survey question related to a particular topic, likely concerning personal values or behaviors.",Boolean
SG_CSV0000000000000925.csv,ban_q435,"The 'ban_q435' column contains binary responses indicating whether the respondent agrees or disagrees with a specific proposition or statement, as evidenced by the values 'Yes' and 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_q436,"The ""ban_q436"" column contains binary responses indicating whether respondents affirmed or denied a particular proposition or statement, as represented by 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,ban_q437,"The target column 'ban_q437' captures binary responses indicating either 'Yes' or 'No' to a specific question or statement in a survey or study context, likely related to an aspect of individual beliefs or behaviors.",Boolean
SG_CSV0000000000000925.csv,md_segment,"The 'md_segment' column categorizes individuals based on moral foundations, reflecting distinct moral values or orientations such as 'Loyal_betrayal', 'Harm_Care', 'Fairness_Cheating', 'Purity_Degradation', which guide their ethical and social behavior.",category
SG_CSV0000000000001714.csv,respondent_serial,"The ""respondent_serial"" column contains unique numerical identifiers assigned to each respondent to distinguish their entries within the dataset.",Identifier
SG_CSV0000000000001714.csv,respondent_id,"The 'respondent_id' column contains unique alphanumeric identifiers assigned to each individual respondent, allowing for their distinct identification within the dataset.",Identifier
SG_CSV0000000000001714.csv,country,"The ""country"" column indicates the country where the respondent is from or is currently residing, with values such as ""Singapore"" denoting the specific nation associated with each respondent's data entry.",Country
SG_CSV0000000000001714.csv,yearbornin_1_slice,"The ""yearbornin_1_slice"" column contains information about the year of birth of the respondent.",Date
SG_CSV0000000000001714.csv,yearbornin_1_slice1,"The ""yearbornin_1_slice1"" column contains the birth year information of the respondent, represented as a consistent data slice across each entry in the dataset.",Date
SG_CSV0000000000001714.csv,ageofrespondent,"The ""ageofrespondent"" column contains numerical values representing the age of each individual respondent recorded in the dataset.",Age
SG_CSV0000000000001714.csv,indicateage,"The ""indicateage"" column represents whether respondents have provided their age information in the survey.",Boolean
SG_CSV0000000000001714.csv,gender,"The 'gender' column contains data regarding the gender identity of the respondents, typically represented as categorical values such as 'Male', 'Female', or other gender identities.",Gender
SG_CSV0000000000001714.csv,occstatus,The 'occstatus' column indicates the current employment status or occupational status of the respondent.,category
SG_CSV0000000000001714.csv,levelsch,"The ""levelsch"" column describes the level of school education attained by the respondent.",category
SG_CSV0000000000001714.csv,highestlevel,"The ""highestlevel"" column represents the highest educational attainment or qualification level achieved by the respondents.",category
SG_CSV0000000000001714.csv,unisch,"The 'unisch' column indicates whether the respondent has attended university, providing a binary answer of either 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,postgradsch,"The ""postgradsch"" column indicates whether the respondent has attended postgraduate school or not, with possible values being categorical indicators such as ""Yes"" or ""No"".",Boolean
SG_CSV0000000000001714.csv,occupationindustry,"The target column ""occupationindustry"" describes the sector or field of employment in which the respondent is currently working or has worked.",category
SG_CSV0000000000001714.csv,occupation2,"The ""occupation2"" column contains information detailing the secondary occupation or job classification of respondents within a survey dataset.",JobPosting
SG_CSV0000000000001714.csv,whichauthority,"The ""whichauthority"" column specifies the particular authority that respondents have identified or are associated with, which might indicate their trust, preference, or recognition of that authority in their personal or professional context.",Organization
SG_CSV0000000000001714.csv,rankmostimptchild_new_1,"The ""rankmostimptchild_new_1"" column represents the primary ranking or prioritization assigned by respondents regarding the most important characteristic or quality they consider for their child.",category
SG_CSV0000000000001714.csv,rankmostimptchild_new_2,"The column 'rankmostimptchild_new_2' contains data that represents the ranking given by respondents to a particular aspect they consider most important in terms of child-related matters, serving as the second choice or preference in their ranking list.",Number
SG_CSV0000000000001714.csv,rankmostimptchild_new_3,"The 'rankmostimptchild_new_3' column represents the third most important factor or attribute considered by the respondent regarding their children's development or priorities, as ranked by the individual.",category
SG_CSV0000000000001714.csv,livinginsg_1_slice,"The 'livinginsg_1_slice' column indicates whether the respondent is currently living in Singapore, providing a binary yes or no response.",Boolean
SG_CSV0000000000001714.csv,livinginsg_2_slice,"The ""livinginsg_2_slice"" column indicates whether the respondent is currently residing in Singapore.",Boolean
SG_CSV0000000000001714.csv,livinginsg_3_slice,"The target column 'livinginsg_3_slice' indicates whether respondents currently reside in Singapore, with entries suggesting binary responses such as 'Yes' or 'No' to signify the presence or absence of living in Singapore for a particular time slice.",Boolean
SG_CSV0000000000001714.csv,livinginsg_4_slice,"The ""livinginsg_4_slice"" column indicates whether the respondents have been living in Singapore for a certain undefined period or condition, as suggested by the pattern of data, potentially categorized or divided into specific segments or slices.",category
SG_CSV0000000000001714.csv,vbc,"The 'vbc' column contains binary categorical responses indicating a specific condition or trait, presumably related to the respondents, with values alternating between 'No' and 'Yes'.",Boolean
SG_CSV0000000000001714.csv,sliderliberty_1_slice,"The target column ""sliderliberty_1_slice"" contains data that likely represents a respondent's self-assessed rating or opinion related to liberty or personal freedom, collected through a sliding scale input method.",category
SG_CSV0000000000001714.csv,maritialstatus,"The ""maritialstatus"" column represents the marital status of the respondents, indicating whether they are single, married, divorced, widowed, or in any other form of relationship status.",category
SG_CSV0000000000001714.csv,children,"The ""children"" column indicates whether the respondents have any children, typically represented with responses like ""Yes"" or ""No.""",Boolean
SG_CSV0000000000001714.csv,noofchildren,"The ""noofchildren"" column represents the number of children that each respondent has.",Number
SG_CSV0000000000001714.csv,childage,"The ""childage"" column represents the age of respondents' children.",Age
SG_CSV0000000000001714.csv,personalincome,"The 'personalincome' column represents the individual financial earnings of the respondents, detailing their personal income levels.",price
SG_CSV0000000000001714.csv,hhi,"The ""hhi"" column represents the household income of the respondent.",price
SG_CSV0000000000001714.csv,socialnetwork_1_slice,"The ""socialnetwork_1_slice"" column captures specific attributes or elements related to an individual's first social networking connection or interaction.",Text
SG_CSV0000000000001714.csv,socialnetwork_2_slice,"The 'socialnetwork_2_slice' column represents responses related to a specific aspect or segment of social network engagement or behavior, likely captured through a survey or study, involving the participants in the dataset.",category
SG_CSV0000000000001714.csv,socialnetwork_3_slice,"The 'socialnetwork_3_slice' column contains data indicating a specific aspect or measurement related to the respondents' social network or social interactions as captured during the survey from which the dataset originates, reflecting the third categorized observation or metric within the broader social network theme.",category
SG_CSV0000000000001714.csv,socialnetwork_4_slice,"The ""socialnetwork_4_slice"" column contains data representing a particular aspect or dimension of a respondent's social network, reflecting a specific variable in their social interactions or connections as captured in the survey.",Text
SG_CSV0000000000001714.csv,socialnetwork_5_slice,"The 'socialnetwork_5_slice' column contains categorical data indicating responses related to a specific aspect or question about social networking, as part of a structured survey or data collection, represented by binary options such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_6_slice,"The ""socialnetwork_6_slice"" column represents specific segments or groups of an individual's social network, capturing aspects or characteristics of the social connections or interactions the respondents have within a specified context or community.",category
SG_CSV0000000000001714.csv,socialnetwork_dp01,"The column 'socialnetwork_dp01' contains binary data indicating whether a respondent is connected to a specific social network detail point, with entries like 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp02,"The ""socialnetwork_dp02"" column records binary values, typically 'Yes' or 'No', indicating whether the respondent is engaged in a specific type of social network or social activity.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp03,"The 'socialnetwork_dp03' column represents the data specific to a particular aspect or dimension of a respondent’s social network, capturing responses in a form that indicates the presence or absence of a particular characteristic, connection, or interaction within their social network.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp04,The 'socialnetwork_dp04' column captures responses from participants indicating whether they have a specific element or connection within their social network.,Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp05,"The 'socialnetwork_dp05' column indicates a specific aspect or characteristic related to the social network activities or associations of a respondent, representing discrete data points relevant to their social interactions or affiliations.",category
SG_CSV0000000000001714.csv,socialnetwork_dp06,"The target column 'socialnetwork_dp06' captures a specific aspect of the respondent's involvement or presence in a particular social networking scenario or platform, indicating either inclusion or absence in that context, typically reflected by values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp07,"The 'socialnetwork_dp07' column represents whether the respondent feels connected or supported by their social network, with values typically indicating a binary response such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp08,"The 'socialnetwork_dp08' column represents a categorical response indicating whether or not a respondent is associated with a specific aspect or element of their social network, denoted by ""Yes"" or ""No"".",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp09,"The column 'socialnetwork_dp09' contains responses indicating whether or not the respondent is part of a particular social network or group, represented as binary options such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,socialnetwork_dp10,"The ""socialnetwork_dp10"" column provides categorical information indicating whether or not a survey respondent is part of a particular social network or group, possibly reflecting their involvement or connections within certain community or social settings.",Boolean
SG_CSV0000000000001714.csv,q20_q211,"The column ""q20_q211"" contains responses indicating whether the respondent answers affirmatively, negatively, or otherwise in relation to a specific survey question or aspect.",Boolean
SG_CSV0000000000001714.csv,q20_q212,The 'q20_q212' column contains binary responses indicating either a 'Yes' or 'No' answer to a specific survey question represented by the code 'q20_q212'.,Boolean
SG_CSV0000000000001714.csv,q20_q213,"The target column ""q20_q213"" seems to contain categorical data indicating responses to a specific survey question, with possible values being ""Yes"" or ""No"".",Boolean
SG_CSV0000000000001714.csv,q20_q214,"The ""q20_q214"" column indicates responses to a specific survey question, likely concerning the attitudes or behaviors of respondents, with potential binary or categorical values representing distinct answer choices.",category
SG_CSV0000000000001714.csv,ban_age,The 'ban_age' column contains responses in binary format ('Yes' or 'No') indicating whether a particular age-related factor or condition is applicable to the respondent.,Boolean
SG_CSV0000000000001714.csv,ban_gender,"The 'ban_gender' column represents whether a respondent is prohibited or restricted based on their gender, indicated by binary values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_personal_inc,The 'ban_personal_inc' column indicates whether a personal income criterion has been applied to exclude or include respondents from a particular category or analysis in the dataset.,Boolean
SG_CSV0000000000001714.csv,ban_mhi,The target column 'ban_mhi' likely indicates whether the respondent's response or data should be banned or excluded based on their household income information.,Boolean
SG_CSV0000000000001714.csv,ban_q18_q191,"The column 'ban_q18_q191' contains responses to a specific survey question related to a certain topic, likely representing a binary or categorical choice indicated by 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_q18_q192,"The 'ban_q18_q192' column indicates whether a specific condition related to question 18, sub-question 192, was applicable to the respondent, typically represented with binary values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_q18_q193,"The 'ban_q18_q193' column contains binary values, which indicate whether a specific condition or restriction represented by the code 'q18_q193' is applicable to the respondents, with ""Yes"" signifying its applicability and ""No"" indicating otherwise.",Boolean
SG_CSV0000000000001714.csv,ban_q18_q194,"The ""ban_q18_q194"" column contains binary responses, likely indicating a specific characteristic or condition of the respondents that is either affirmed with ""Yes"" or negated with ""No"".",Boolean
